NIT,RAZON_SOCIAL,DEPARTAMENTO,MUNICIPIO,CIIU,DESCRIPCION_CIIU
830076099,SEGURIDAD ORIENTAL LTDA. .,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8010,Actividades de seguridad privada
800095628,DEPOSITO DE DROGRAS PROFESIONAL SAS,ANTIOQUIA,MEDELLÍN,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
900538988,SUNCOLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4220,Construcción de proyectos de servicio público
900394343,MER-K-POLLOS DEL CARIBE SAS,ATLÁNTICO,BARRANQUILLA,4631,Comercio al por mayor de productos alimenticios
823001518,E.S.E UNIDAD DE SALUD SAN FRANCISCO DE ASIS,SUCRE,SINCELEJO,8621,"Actividades de la práctica médica, sin internación"
900221386,OBRAS CIVILES DE OCCIDENTE SAS,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,4290,Construcción de otras obras de ingeniería civil
900139569,PANELTEC SAS,ATLÁNTICO,BARRANQUILLA,2395,"Fabricación de artículos de hormigón, cemento y yeso"
819000986,C.B. HOTELES Y RESORTS S.A.,MAGDALENA,SANTA MARTA,5511,Alojamiento en hoteles
830078262,TEJIDOS ESPECIALES SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1312,Tejeduría de productos textiles
900252139,PARQUE ARAUCO COLOMBIA S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",7010,Actividades de administración empresarial
900465361,GROUP MC COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
830070950,CI CONLEX SAS,CUNDINAMARCA,FUNZA,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
890937546,LAMINAIRE SAS,ANTIOQUIA,MEDELLÍN,2599,Fabricación de otros productos elaborados de metal n.c.p.
800003781,VR INGENIERIA Y MERCADEO SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
800087652,LA TIENDA DEL TRIPLEX SAS ,ANTIOQUIA,MEDELLÍN,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
